IDs         length   Exptl.  resolution  R-factor FreeRvalue
3O2WL       219      XRAY        2.550    0.21    0.25
1DVFA       108      XRAY        1.900    0.19    0.25
1Y18E       216      XRAY        2.800    0.22    0.25
2OSLB       213      XRAY        2.600    0.24    0.30
1UB5L       214      XRAY        2.000    0.25    0.27
2VXSN       216      XRAY        2.630    0.21    0.26
3CDCB       109      XRAY        1.530    0.19    0.23
1U8LA       214      XRAY        2.600    0.22    0.25
3PNWJ       228      XRAY        2.050    0.22    0.26
1NLBL       220      XRAY        1.600    0.20    0.21
1LO2X       219      XRAY        2.000    0.21    0.25
3R1GL       214      XRAY        2.800    0.22    0.27
2W65D       217      XRAY        2.210    0.24    0.28
3QNYA       219      XRAY        2.300    0.19    0.22
12E8M       214      XRAY        1.900    0.22    0.27
3PHQA       217      XRAY        2.000    0.23    0.28
2AJSL       216      XRAY        1.700    0.21    0.23
3OR7B       212      XRAY        2.300    0.26    0.27
2H8PB       212      XRAY        2.250    0.23    0.24
1TJIL       214      XRAY        2.200    0.18    0.22
1GGIM       218      XRAY        2.800    0.19    1.00
1YECL       219      XRAY        1.900    0.21    0.25
2A77L       216      XRAY        1.800    0.22    0.26
1MCKB       216      XRAY        2.700    0.19    1.00
1V7MM       213      XRAY        2.510    0.23    0.32
1DL7L       109      XRAY        2.350    0.19    0.27
3BZ4G       219      XRAY        1.800    0.18    0.23
2R56M       211      XRAY        2.800    0.25    0.29
3DGGA       217      XRAY        2.300    0.19    0.25
1N64L       220      XRAY        2.340    0.22    0.24
2V7NA       215      XRAY        1.920    0.15    0.20
1NGWA       213      XRAY        2.600    0.28    0.32
1CICC       214      XRAY        2.500    0.18    1.00
1OP3K       212      XRAY        1.750    0.23    0.25
3CDFC       109      XRAY        1.530    0.19    0.23
2VL5D       218      XRAY        2.100    0.22    0.29
2R2EA       219      XRAY        2.400    0.25    0.31
1D5BA       211      XRAY        2.800    0.24    0.28
1JFQL       215      XRAY        1.900    0.20    1.00
2G5BG       217      XRAY        2.300    0.23    0.28
1GPOM       219      XRAY        1.950    0.21    0.28
3RPIB       206      XRAY        2.650    0.21    0.26
3CXHK       107      XRAY        2.500    0.23    0.26
2BX5O       107      XRAY        2.700    0.25    0.29
3O6KL       219      XRAY        2.000    0.20    0.25
2W9DL       212      XRAY        1.570    0.18    0.22
3LDBB       220      XRAY        2.700    0.25    0.28
3L7FD       214      XRAY        2.600    0.21    0.24
3FB5B       212      XRAY        2.800    0.24    0.25
3SGEL       219      XRAY        1.890    0.18    0.21
1I9IL       219      XRAY        2.720    0.20    0.25
3I02A       219      XRAY        2.600    0.21    0.27
