IDs         length   Exptl.  resolution  R-factor FreeRvalue
3B9VC       120      XRAY        1.800    0.16    0.20
3G9AB       139      XRAY        1.610    0.17    0.19
3G04B       228      XRAY        2.550    0.18    0.24
3M8OH       221      XRAY        1.550    0.15    0.18
3QNYB       221      XRAY        2.300    0.19    0.22
3NAAH       225      XRAY        1.700    0.18    0.20
2BOBA       219      XRAY        2.760    0.22    0.25
3OGOG       123      XRAY        2.800    0.20    0.25
2B1HH       226      XRAY        2.000    0.21    0.24
1V7MH       217      XRAY        2.510    0.23    0.32
1YY8D       221      XRAY        2.000    0.22    0.26
3DETE       221      XRAY        2.800    0.26    0.30
2WZPD       123      XRAY        2.600    0.18    0.21
1OARK       122      XRAY        2.230    0.20    0.24
1MJJH       227      XRAY        2.100    0.18    0.26
1FVCB       120      XRAY        2.200    0.18    1.00
1G7HB       116      XRAY        1.850    0.20    1.00
2G5BB       222      XRAY        2.300    0.23    0.28
3UJJH       230      XRAY        2.000    0.18    0.21
2ORBI       228      XRAY        2.200    0.26    0.32
3K2UH       225      XRAY        2.350    0.24    0.29
2DTMH       224      XRAY        2.250    0.22    0.28
2B2XH       226      XRAY        2.200    0.24    0.27
3C6SD       217      XRAY        1.800    0.19    0.25
1NGQH       222      XRAY        2.400    0.19    0.25
1DN0B       232      XRAY        2.280    0.18    0.24
1A3LH       218      XRAY        1.950    0.19    0.27
3OZ9H       219      XRAY        1.600    0.19    0.23
2Z91C       218      XRAY        2.600    0.22    0.27
1D5BB       221      XRAY        2.800    0.24    0.28
1U8LB       235      XRAY        2.600    0.22    0.25
2WZPJ       123      XRAY        2.600    0.18    0.21
1YZZA       124      XRAY        2.700    0.24    0.29
3B2UF       223      XRAY        2.580    0.23    0.29
1YYMR       229      XRAY        2.200    0.21    0.27
3TCLA       237      XRAY        1.910    0.20    0.24
1UA6H       114      XRAY        1.900    0.23    0.27
1JPSH       225      XRAY        1.850    0.20    0.22
2HFFH       232      XRAY        1.950    0.19    0.22
1T2QH       221      XRAY        1.830    0.20    0.25
1NGXB       216      XRAY        1.800    0.23    0.25
1OAUH       122      XRAY        1.800    0.23    0.26
1CZ8Y       218      XRAY        2.400    0.21    0.27
